State,Region,Last Update,Confirmed,Deaths,Recovered
Italy,Abruzzo,2020-02-22T18:30:00,0,0,0,
Italy,Basilicata,2020-02-22T18:30:00,0,0,0,
Italy,Calabria,22020-02-22T18:30:00,0,0,0,
Italy,Campania,2020-02-22T18:30:00,10,0,0,
Italy,Emilia-Romagna,2020-02-22T18:30:00,0,0,0,
Italy,Friuli Venezia Giulia,2020-02-22T18:30:00,0,0,0,
Italy,Lazio,2020-02-22T18:30:00,0,0,0,
Italy,Liguria,2020-02-22T18:30:00,0,0,0,
Italy,Lombardia,2020-02-22T18:30:00,40,0,0,
Italy,Marche,2020-02-22T18:30:00,0,0,0,
Italy,Molise,2020-02-22T18:30:00,0,0,0,
Italy,Piemonte,2020-02-22T18:30:00,1,0,0,
Italy,Puglia,2020-02-22T18:30:00,0,0,0,
Italy,Sardegna,2020-02-22T18:30:00,0,0,0,
Italy,Sicilia,2020-02-22T18:30:00,0,0,0,
Italy,Toscana,2020-02-22T18:30:00,0,0,0,
Italy,Trentino-Alto Adige,2020-02-22T18:30:00,0,0,0,
Italy,Umbria,2020-02-22T18:30:00,0,0,0,
Italy,Valle d'Aosta,2020-02-22T18:30:00,0,0,0,
Italy,Veneto,2020-02-22T18:30:00,12,0,0,
