State,Region,Last Update,Confirmed,Deaths,Recovered
Italy,Abruzzo,2020-03-01T14:15:00,5,0,0
Italy,Basilicata,2020-03-01T14:15:00,0,0,0
Italy,Calabria,2020-03-01T14:15:00,1,0,0
Italy,Campania,2020-03-01T14:15:00,17,0,0
Italy,Emilia-Romagna,2020-03-01T14:15:00,277,8,0
Italy,Friuli Venezia Giulia,2020-03-01T14:15:00,6,0,0
Italy,Lazio,2020-03-01T14:15:00,3,0,3
Italy,Liguria,2020-03-01T14:15:00,21,0,4
Italy,Lombardia,2020-03-01T14:15:00,887,24,73
Italy,Marche,2020-03-01T14:15:00,25,0,4
Italy,Molise,2020-03-01T14:15:00,0,0,0
Italy,Piemonte,2020-03-01T14:15:00,49,0,0
Italy,Puglia,2020-03-01T14:15:00,3,0,0
Italy,Sardegna,2020-03-01T14:15:00,0,0,0
Italy,Sicilia,2020-03-01T14:15:00,7,0,2
Italy,Toscana,2020-03-01T14:15:00,12,0,1
Italy,Trentino-Alto Adige,2020-03-01T14:15:00,1,0,0
Italy,Umbria,2020-03-01T14:15:00,2,0,0
Italy,Valle d'Aosta,2020-03-01T14:15:00,0,0,0
Italy,Veneto,2020-03-01T14:15:00,261,2,0
