State,Region,Last Update,Confirmed,Deaths,Recovered
Italy,Abruzzo,2020-03-04T08:46:00,8,0,0
Italy,Basilicata,2020-03-04T08:46:00,1,0,0
Italy,Calabria,2020-03-04T08:46:00,2,0,0
Italy,Campania,2020-03-04T08:46:00,45,0,0
Italy,Emilia-Romagna,2020-03-04T08:46:00,658,30,10
Italy,Friuli Venezia Giulia,2020-03-04T08:46:00,21,0,0
Italy,Lazio,2020-03-04T08:46:00,41,0,3
Italy,Liguria,2020-03-04T08:46:00,21,3,4
Italy,Lombardia,2020-03-04T08:46:00,1777,98,376
Italy,Marche,2020-03-04T08:46:00,120,4,0
Italy,Molise,2020-03-04T08:46:00,7,0,0
Italy,Piemonte,2020-03-04T08:46:00,106,2,0
Italy,Puglia,2020-03-04T08:46:00,12,1,1
Italy,Sardegna,2020-03-04T08:46:00,2,0,0
Italy,Sicilia,2020-03-04T08:46:00,16,0,2
Italy,Toscana,2020-03-04T08:46:00,60,0,1
Italy,Trentino-Alto Adige,2020-03-04T08:46:00,8,0,0
Italy,Umbria,2020-03-04T08:46:00,9,0,0
Italy,Valle d'Aosta,2020-03-04T08:46:00,2,0,0
Italy,Veneto,2020-03-04T08:46:00,380,10,17
