Province/State,Country/Region,Lat,Long,22/02/20,23/02/20,24/02/20,25/02/20,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20
Italy,Abruzzo,42.21144,13.23311,0,0,0,0,0,1,1,2,5,5,6,7,8
Italy,Basilicata,40.64175,15.80794,0,0,0,0,0,0,0,0,0,0,1,1,1
Italy,Calabria,38.88247,16.60086,0,0,0,0,0,0,1,1,1,1,1,1,2
Italy,Campania,40.77939,14.39782,0,0,0,0,0,2,2,13,17,17,30,31,45
Italy,Emilia-Romagna,44.49381,11.33875,0,9,18,19,30,97,145,213,277,324,398,516,658
Italy,Friuli Venezia Giulia,45.64325,13.7903,0,0,0,0,0,0,0,0,6,9,13,18,21
Italy,Lazio,41.89193,12.51133,0,0,0,3,3,3,3,3,3,4,11,27,41
Italy,Liguria,44.4264,8.91519,0,0,0,2,16,11,19,19,21,18,19,21,21
Italy,Lombardia,45.46427,9.18951,40,113,172,206,305,403,474,552,887,1077,1326,1497,1777
Italy,Marche,43.5942,13.50337,0,0,0,0,1,6,6,38,25,34,59,80,120
Italy,Molise,41.55947,14.66737,0,0,0,0,0,0,0,0,0,0,3,3,7
Italy,Piemonte,45.07049,7.68682,1,3,3,3,1,2,40,11,49,51,56,82,106
Italy,Puglia,41.11148,16.8554,0,0,0,0,1,1,3,3,3,4,6,7,12
Italy,Sardegna,39.23054,9.11917,0,0,0,0,0,0,0,0,0,1,1,2,2
Italy,Sicilia,38.13205,13.33561,0,0,0,1,3,3,3,2,7,5,5,16,16
Italy,Toscana,43.4617,11.1515,0,0,0,2,2,2,7,10,12,12,18,37,60
Italy,Trentino-Alto Adige,46.49067,11.33982,0,0,1,1,1,1,1,1,1,1,5,6,8
Italy,Umbria,42.56184,12.63667,0,0,0,0,0,0,0,0,2,2,8,9,9
Italy,Valle d'Aosta,45.4414,7.1914,0,0,0,0,0,0,0,0,0,0,1,1,2
Italy,Veneto,45.2623,12.1955,12,26,33,38,71,116,149,189,261,271,297,345,380
