Province/State,Country/Region,Lat,Long,22/02/20,23/02/20,24/02/20,25/02/20,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20
Italy,Abruzzo,42.21144,13.23311,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Basilicata,40.64175,15.80794,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Calabria,38.88247,16.60086,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Campania,40.77939,14.39782,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Emilia-Romagna,44.49381,11.33875,0,0,0,0,1,1,1,4,8,11,18,22,30
Italy,Friuli Venezia Giulia,45.64325,13.7903,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Lazio,41.89193,12.51133,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Liguria,44.4264,8.91519,0,0,0,0,0,0,0,0,0,0,1,1,3
Italy,Lombardia,45.46427,9.18951,0,2,6,9,9,14,17,23,24,38,55,73,98
Italy,Marche,43.5942,13.50337,0,0,0,0,0,0,0,0,0,1,2,4,4
Italy,Molise,41.55947,14.66737,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Piemonte,45.07049,7.68682,0,0,0,0,0,0,0,0,0,0,0,0,2
Italy,Puglia,41.11148,16.8554,0,0,0,0,0,0,0,0,0,0,0,1,1
Italy,Sardegna,39.23054,9.11917,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Sicilia,38.13205,13.33561,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Toscana,43.4617,11.1515,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Trentino-Alto Adige,46.49067,11.33982,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Umbria,42.56184,12.63667,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Valle d'Aosta,45.4414,7.1914,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Veneto,45.2623,12.1955,0,1,1,2,2,2,2,2,2,2,3,6,10
